Time,               Close,Daily_Transcations
2013-08-06,106.88378,52260
2013-08-07,105.6,57225
2013-08-08,101.9,57036
2013-08-09,102.3,53241
2013-08-10,102.61802,52040
2013-08-11,103.85001,41059
2013-08-12,104.99498,45811
2013-08-13,107.29884,53484
2013-08-14,100.03,50484
2013-08-15,98.28,59029
2013-08-16,98.51,68301
2013-08-17,98.39,59253
2013-08-18,99.02,53134
2013-08-19,102.07,69938
2013-08-20,104.59,66539
2013-08-21,109.75,63416
2013-08-22,111.01,62772
2013-08-23,107.48,59969
2013-08-24,108.79,51085
2013-08-25,112.9,45094
2013-08-26,111.8,53528
2013-08-27,117.52,61016
2013-08-28,119.25,63645
2013-08-29,119.48,61525
2013-08-30,124.79,60716
2013-08-31,132.75,52533
2013-09-01,130.82,45578
2013-09-02,131.03,50456
2013-09-03,130.45,50503
2013-09-04,126.74,51136
2013-09-05,124.51,60222
2013-09-06,122.44,63412
2013-09-07,120.15,54231
2013-09-08,118.51,46470
2013-09-09,121.66,54966
2013-09-10,123.39,53551
2013-09-11,124.1,49512
2013-09-12,128.45,50982
2013-09-13,128.29,48362
2013-09-14,124.32,47147
2013-09-15,125.46,46764
2013-09-16,126.02,50391
2013-09-17,127.56,66291
2013-09-18,127.23,64383
2013-09-19,124.1,59004
2013-09-20,123.98,58990
2013-09-21,123.5,53286
2013-09-22,122.78,52686
2013-09-23,123.02,60286
2013-09-24,122.59,63563
2013-09-25,124.18,58150
2013-09-26,123.85,54262
2013-09-27,125.6,50429
2013-09-28,126.5,44660
2013-09-29,128.1,41741
2013-09-30,125.8,42073
2013-10-01,127.11,55320
2013-10-02,104.47,60542
2013-10-03,116.95,61708
2013-10-04,122,54796
2013-10-05,121.51,47895
2013-10-06,121.6,44751
2013-10-07,123.6,43235
2013-10-08,123.84,42865
2013-10-09,126.08,46991
2013-10-10,126.43,57769
2013-10-11,126.84,54449
2013-10-12,127.53,49674
2013-10-13,129.74,51248
2013-10-14,135.69,55763
2013-10-15,139.24,57320
2013-10-16,141.83,51947
2013-10-17,143.33,45193
2013-10-18,150.59,60446
2013-10-19,165.05,54639
2013-10-20,165.71,49864
2013-10-21,177.07,58142
2013-10-22,191.78,64906
2013-10-23,199.95,54572
2013-10-24,195.78,63265
2013-10-25,172.81,59853
2013-10-26,179.71,49353
2013-10-27,189.06,44388
2013-10-28,196.25,48635
2013-10-29,202.09,51237
2013-10-30,203.39,47911
2013-10-31,201.61,56476
2013-11-01,203.24,48306
2013-11-02,204.15,41179
2013-11-03,206.85,35815
2013-11-04,225.1,42094
2013-11-05,246.63,51134
2013-11-06,258.23,55035
2013-11-07,292.32,58631
2013-11-08,325.56,59961
2013-11-09,359.76,57804
2013-11-10,296.91,57169
2013-11-11,339.38,54558
2013-11-12,353.95,58510
2013-11-13,391.64,63151
2013-11-14,416.5,70175
2013-11-15,428.24,62100
2013-11-16,433.53,51595
2013-11-17,463,48041
2013-11-18,583.16,73198
2013-11-19,559.99,93322
2013-11-20,595,77962
2013-11-21,694.95,71024
2013-11-22,761,76646
2013-11-23,837.99,75165
2013-11-24,833.16,60018
2013-11-25,814,71937
2013-11-26,844.9,80055
2013-11-27,961,91169
2013-11-28,1009,102010
2013-11-29,1083.9,90409
2013-11-30,1119.96,80868
2013-12-01,970,67175
2013-12-02,992.27,74324
2013-12-03,1060,78202
2013-12-04,1151,79738
2013-12-05,1028.34,84995
2013-12-06,894,71277
2013-12-07,727.29,75125
2013-12-08,722.99,49174
2013-12-09,871,57289
2013-12-10,936.98,67874
2013-12-11,886.2,68381
2013-12-12,845.75,59677
2013-12-13,874,59827
2013-12-14,864.7,55858
2013-12-15,848.17,51885
2013-12-16,709,63090
2013-12-17,702.05,71588
2013-12-18,576.16,81656
2013-12-19,653,68814
2013-12-20,660,69475
2013-12-21,612.5,59140
2013-12-22,637,51543
2013-12-23,639.9,52033
2013-12-24,647.27,56872
2013-12-25,658.07,57077
2013-12-26,734.42,48575
2013-12-27,715.51,55170
2013-12-28,701.61,47777
2013-12-29,714.79,49031
2013-12-30,739.1,56501
2013-12-31,731,52382
2014-01-01,746.9,41476
2014-01-02,758.01,48424
2014-01-03,806.21,63821
2014-01-04,822.38,53978
2014-01-05,896,55761
2014-01-06,934.21,67597
2014-01-07,867.38,62126
2014-01-08,825.29,62884
2014-01-09,809.17,58365
2014-01-10,827.46,56746
2014-01-11,891.85,56464
2014-01-12,851,49308
2014-01-13,807.83,54756
2014-01-14,820.75,55579
2014-01-15,847.7,60392
2014-01-16,830.9,57592
2014-01-17,793,58397
2014-01-18,801.53,53290
2014-01-19,833,49224
2014-01-20,831.72,58819
2014-01-21,822.56,71521
2014-01-22,813.05,66358
2014-01-23,813.02,63527
2014-01-24,789.1,67893
2014-01-25,806,55371
2014-01-26,826.77,51630
2014-01-27,777,60746
2014-01-28,800.2,65687
2014-01-29,803.6,61786
2014-01-30,799.37,60919
2014-01-31,802.5,61999
2014-02-01,815.99,56840
2014-02-02,819.57,50400
2014-02-03,813.8,58901
2014-02-04,809.05,65812
2014-02-05,800,67952
2014-02-06,778,69721
2014-02-07,742.78,71870
2014-02-08,707,64069
2014-02-09,710,59284
2014-02-10,665,67622
2014-02-11,670,62872
2014-02-12,667.01,62805
2014-02-13,633.99,66888
2014-02-14,672.1,76660
2014-02-15,651.42,64107
2014-02-16,623.5,56785
2014-02-17,642,57119
2014-02-18,626.77,68333
2014-02-19,623.93,66351
2014-02-20,582.7,71666
2014-02-21,566.16,73513
2014-02-22,603.98,59691
2014-02-23,626.77,58632
2014-02-24,545,68496
2014-02-25,528,84004
2014-02-26,585.38,71527
2014-02-27,585.17,71447
2014-02-28,577.97,71658
2014-03-01,571.5,63344
2014-03-02,559.88,59067
2014-03-03,666.5,72585
2014-03-04,677.61,85916
2014-03-05,664.85,74178
2014-03-06,657.02,71619
2014-03-07,621.3,69559
2014-03-08,609,71019
2014-03-09,637.99,61289
